target	assay	ctcf_retained	ctcf_lost	rad21_retained	rad21_lost	atac_gained	atac_lost	n_experiments	factor_class
MAZ	TF ChIP-seq	50.260002888921	20.4868078781122	58.1550166428911	41.245061193023	68.1742043551089	23.5491227253688	1	TF
MYNN	TF ChIP-seq	6.73118590206558	3.09178743961353	7.5130765572991	5.06890238026405	12.8978224455611	5.81747102899428	1	TF
MZF1	TF ChIP-seq	13.8451538350426	7.50650315867707	14.265335235378	12.2675146959622	21.4405360134003	13.3103737143389	1	TF
NFRKB	TF ChIP-seq	3.70504116712408	1.66852471200297	4.18449833571089	2.80427869326395	4.02010050251256	1.74989528552148	1	TF
OSR2	TF ChIP-seq	16.4379604217825	8.69193608324043	19.8288159771755	14.0984870386432	32.998324958124	18.4018243589147	1	TF
OVOL3	TF ChIP-seq	10.1834464827387	4.09884801189149	12.6485972420352	7.64190035655777	19.0954773869347	6.92511751291479	1	TF
PATZ1	TF ChIP-seq	50.2888920988011	20.9550353028614	54.2558250118878	39.5490026019081	70.3517587939699	24.9732396332666	1	TF
PKNOX1	TF ChIP-seq	20.8796764408493	12.2853957636566	27.3418925344746	17.5773344897369	35.678391959799	26.3647787034021	1	TF
PRDM1	TF ChIP-seq	16.2212913476816	11.0033444816054	12.0304327151688	13.4528283704346	40.7035175879397	29.5853306650533	1	TF
PRDM10	TF ChIP-seq	42.4671385237614	21.073950204385	46.0294816928198	35.5497735376313	67.0016750418761	32.7314189975334	1	TF
PRDM2	TF ChIP-seq	5.33005922288025	1.67967298402081	4.51735615786971	3.16083646525971	14.7403685092127	3.92795643877693	1	TF
PRDM4	TF ChIP-seq	17.4779719774664	7.93013749535489	18.7826913932477	13.7997494458899	31.3232830820771	14.7717224368223	1	TF
PRDM6	TF ChIP-seq	4.35504838942655	4.60795243403939	4.23204945316215	4.57743085670232	18.0904522613065	18.7276027365384	1	TF
RBAK	TF ChIP-seq	2.21724685829843	0.776662950575994	2.28245363766049	1.57078153608943	8.37520938023451	2.76446223297808	1	TF
REPIN1	TF ChIP-seq	11.9745774953055	4.16945373467113	14.7408464098906	8.66339018984292	19.9329983249581	6.28752268813701	1	TF
REST	TF ChIP-seq	17.3046367181858	7.47677443329617	18.1169757489301	13.4335549773538	31.1557788944724	14.3994042909666	1	TF
SALL2	TF ChIP-seq	2.18113534594829	0.691192865105908	2.37755587256301	1.22386046063409	5.36013400335008	1.95932424256527	1	TF
SCRT1	TF ChIP-seq	11.9023544706052	6.84875510962468	9.03471231573942	9.78124698853233	34.1708542713568	18.0853539349374	1	TF
SCRT2	TF ChIP-seq	24.4474938610429	13.5340022296544	21.3504517356158	19.7455912113328	58.4589614740369	33.913529110625	1	TF
SP1	TF ChIP-seq	3.27170301892243	0.520252694165738	9.08226343319068	1.70569528765539	12.2278056951424	0.879601619583934	1	SP/KLF
SP2	TF ChIP-seq	43.1099234435938	16.8784838350056	63.4807417974322	33.7380745880312	73.8693467336683	18.4390561735003	1	SP/KLF
SP3	TF ChIP-seq	44.3666040733786	17.0791527313266	63.0527817403709	35.8581478269249	69.6817420435511	18.4437101503235	1	SP/KLF
SP7	TF ChIP-seq	47.2988588762097	20.7209215904868	47.8364241559677	40.3199383251421	60.6365159128978	30.8558663377856	1	SP/KLF
SUZ12	TF ChIP-seq	0.938899321103568	0.479375696767001	2.1398002853067	1.05039992290643	2.17755443886097	0.539861311490669	1	TF
TARDBP	TF ChIP-seq	4.5789397659974	1.33036046079524	6.18164526866381	2.79464199672352	9.21273031825796	2.69930655745334	1	TF
TRIM28	TF ChIP-seq	17.8101978910877	11.4827201783724	16.7855444602948	19.0421123638817	20.2680067001675	16.7543165635035	1	TF
TSHZ1	TF ChIP-seq	10.5878954210602	4.44816053511706	13.3618640038041	8.24901223860461	19.0954773869347	9.26606785498208	1	TF
WT1	TF ChIP-seq	22.374693052145	9.59494611668525	27.056585829767	18.1940830683242	38.358458961474	17.1545585702983	1	TF
YY1	TF ChIP-seq	23.161924021378	9.4908955778521	27.8649548264384	17.8760720824901	35.678391959799	10.9228836040397	1	TF
YY2	TF ChIP-seq	17.8029755886176	6.42883686361947	22.0161673799334	13.462465066975	29.6482412060301	8.98217526876716	1	TF
